"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"da7cd6c9a2fc7d0614bd5da03bf1e644","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Curtobacterium",NA
"a0d03ba5342c2c82ac244c0c5ef28b92","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"dfb4b23d1c7a0f30f1f79476f50201e0","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter",NA
"afb2f933b8a01130b7a8ad25a89d7ac7","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"21be5a6f359851b100153b2f23f41f4a","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium"," s__Flavobacterium_johnsoniae"
"20a3dff2e8b04a513c343ba79dadec94","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Rhodanobacteraceae"," g__Dyella"," s__Dyella_marensis"
"f4d390a1eec4fb988b1595fc8590adb4","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Curtobacterium",NA
"90076bc22c0ec7c1e624cb051b9049d4","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"5d32eb005c16ebd47c3cf5d210b842d1","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Micrococcaceae"," g__Paenarthrobacter",NA
"c10f59e60de49d0cd4c3c8dac532c479","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Ralstonia",NA
"c31be2c7184ec38f2ed5ca452b90cdce","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"2a912300a70f985f2df786cb0dd145dd","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas",NA
"f7f304664dddd3e8b3c3be217507c9bd","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"12b8d9bb639c758338b0b1b57718ecf0","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Burkholderia-Caballeronia-Paraburkholderia"," s__Paraburkholderia_caledonica"
"99cf1750a54711e2bce46394da8df914","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"51521b7c26313e7b8b723e84094d17ed","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Weeksellaceae"," g__Chryseobacterium",NA
"22c76bdd01c7212aba6d65cffcb9d6fc","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Rhodanobacteraceae"," g__Luteibacter"," s__Luteibacter_sp."
"f3209ec09158a6212f1aaa2827a3bc84","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"cd7b67622c6952c9fb2ccd468f0caa5a","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"b8573db111c30c47478e2693e0ca8968","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"4929313483be54c04536c40c13cf8d8f","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas",NA
"ef289d460d88b8bf99288c9ccafa3de4","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Corynebacteriales"," f__Nocardiaceae"," g__Rhodococcus",NA
"2f4a2b08eec8d8d5f66dc0d20552881f","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacterales"," f__Enterobacteriaceae"," g__Escherichia-Shigella",NA
"d8a08e8290a8c8eb32afa01678526a5e","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas",NA
"1a7a971d3bcf21592d1ebabf35d100fd","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Caulobacterales"," f__Caulobacteraceae"," g__Brevundimonas",NA
"431ad274211ed45798fc0ae4775d935b","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Paenibacillales"," f__Paenibacillaceae"," g__Paenibacillus",NA
"c62cf6fee777e84702eedfa064a9e1ef","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Paenibacillales"," f__Paenibacillaceae"," g__Paenibacillus",NA
"bc0112a226e67df4681701fa8df11747","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Micrococcaceae",NA,NA
"83eea7ede2e6b425b64784c49b69b1ca","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," g__Phyllobacterium",NA
"0a0ff828fb72efcb57bea6d85705f021","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Promicromonosporaceae"," g__Promicromonospora"," s__Promicromonospora_sp."
"c6f61b95201848ba396fcf8f9f393bd8","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"9a3e272dbc1c0a2fe70f3b19e1f33110","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Leifsonia",NA
"1de65d52f215357e5fa458896185204e","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"6d26fdc347418dd6323ed01ad56d3a82","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"069d61f012c1628d71339eaef3f6604f","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Xiphinematobacteraceae"," g__Candidatus_Xiphinematobacter"," s__uncultured_bacterium"
"a0623c9d9225f9a0cca26148cbbee7ff","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Paenibacillales"," f__Paenibacillaceae"," g__Paenibacillus",NA
"0a63a7d2543ae3e831c8991888bee0e1","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Promicromonosporaceae"," g__Promicromonospora"," s__Promicromonospora_sp."
"90c4ea6a2bd0c1183dd4ab5ed179dbf9","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas",NA
"13b1eda47a2b93d1d45e7bb10dd412b1","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Corynebacteriales"," f__Nocardiaceae"," g__Rhodococcus",NA
"ab6a2446d56f9061879d8896e64f1a45","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"faffbb265034dc915495de3d18fc8546","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Propionibacteriales"," f__Nocardioidaceae"," g__Nocardioides"," s__Nocardioides_simplex"
"596284f30f6dd7cfbbce29bece0a5ebe","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Comamonadaceae"," g__Variovorax",NA
"ff813886b6b61559dac3aa80134cdd33","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methyloligellaceae"," g__uncultured"," s__metagenome"
"0a8f178dfb8da47b79d1197d09388268","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Intrasporangiaceae"," g__Terrabacter"," s__Terrabacter_sp."
"3077f6f8402ecd8f689962a848a4b6aa","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Corynebacteriales"," f__Mycobacteriaceae"," g__Mycobacterium",NA
"15d69f7f44e8803ba7adcb9bf41e55dc","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Xiphinematobacteraceae"," g__Candidatus_Xiphinematobacter",NA
"1f36a08dcaee9eefbf0a65575f6463ed","d__Bacteria"," p__Chloroflexi"," c__KD4-96"," o__KD4-96"," f__KD4-96"," g__KD4-96",NA
"0add8a14cd2f1bacea2ff1c7a18279c6","d__Bacteria"," p__Myxococcota"," c__bacteriap25"," o__bacteriap25"," f__bacteriap25"," g__bacteriap25",NA
"0c457766cb8f9280f31e57ac199585d7","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Micrococcaceae",NA,NA
"bb4e6559fdb1f5e2f2690cf27695f918","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Microbacterium",NA
"8800223402391a0c7da04189f00015c8","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methyloligellaceae"," g__uncultured"," s__uncultured_bacterium"
"7863e499e498fe835c5c5a74c19e0568","d__Bacteria"," p__Nitrospirota"," c__Nitrospiria"," o__Nitrospirales"," f__Nitrospiraceae"," g__Nitrospira"," s__uncultured_soil"
"25ae649a4a81db6936d2ff67e76613de","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Paenibacillales"," f__Paenibacillaceae"," g__Paenibacillus",NA
"fe7f451d5ab6c27e2ab00903f7a6c125","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Beijerinckiaceae"," g__Microvirga",NA
"9ef44b54b4f7debffc0ae5dab602fe6a","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae",NA
"2308feedf9f9c28a9e4f646f532195e4","d__Bacteria"," p__Chloroflexi"," c__Chloroflexia"," o__Thermomicrobiales"," f__JG30-KF-CM45"," g__JG30-KF-CM45"," s__uncultured_Chloroflexi"
"fcad212ec9ca292f4e0f19dbad8caec4","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"7ebc760ff25210d2e3fa9700782d097c","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Chthoniobacteraceae"," g__Candidatus_Udaeobacter"," s__uncultured_Prosthecobacter"
"a01df357b1da120c5070bf1fc09ef7c9","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Azospirillales"," f__Azospirillaceae"," g__Skermanella",NA
"94188546ed8a3c0fa12261769f644d52","d__Bacteria"," p__Actinobacteriota"," c__MB-A2-108"," o__MB-A2-108"," f__MB-A2-108"," g__MB-A2-108"," s__metagenome"
"faa82d0af23fc451f0fc0542228b9881","d__Bacteria"," p__Actinobacteriota"," c__MB-A2-108"," o__MB-A2-108"," f__MB-A2-108"," g__MB-A2-108",NA
"47dca9a03b89a72e19bad7ffcf5313ed","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"cdca7b47c6a94c0cd4533d4f0567c98d","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae",NA
"7beb6afb10d4a33729f38eae58eb86fe","d__Bacteria"," p__Actinobacteriota"," c__Acidimicrobiia"," o__Microtrichales"," f__Ilumatobacteraceae"," g__Ilumatobacter",NA
"666bd685546bcb573cc22a580883080e","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"35f790f1b8141df0ca3ef7533f0fd3c0","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__uncultured"," g__uncultured"," s__uncultured_Acidobacteriaceae"
"d0eb2c54a8849219164610d6d40b8f31","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales",NA,NA,NA
"b742ee507aa9221aa36c710ad40a508e","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Azospirillales"," f__uncultured"," g__uncultured"," s__uncultured_bacterium"
"c341757418171ab0183f205c50ddefdc","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"1a9b725f5b9dbcd573b39ed2df778a07","d__Bacteria"," p__Acidobacteriota"," c__Blastocatellia"," o__Pyrinomonadales"," f__Pyrinomonadaceae"," g__RB41",NA
"60ca3dd8b2d6364a96b1a78749fcb3e8","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Chitinophagales"," f__Chitinophagaceae"," g__uncultured"," s__uncultured_Bacteroidetes"
"16bf6bd22c0f742c65da4d82cecb5b36","d__Bacteria"," p__Myxococcota"," c__bacteriap25"," o__bacteriap25"," f__bacteriap25"," g__bacteriap25"," s__uncultured_soil"
"706cce28ef6f5d4fd0427280acb4dadc","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__uncultured"," s__metagenome"
"6e7604ec6f61c2fee0d97a8d8b3d057d","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," g__Bradyrhizobium",NA
"c65fe931530c08a2f34564ce0821dac1","d__Bacteria"," p__Actinobacteriota"," c__Acidimicrobiia"," o__Actinomarinales"," f__uncultured"," g__uncultured"," s__uncultured_Actinomycetales"
"0b14d8e2dc0ed39c7c7ef5c6bc5003d8","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__Verrucomicrobiaceae"," g__uncultured"," s__uncultured_soil"
"9578bf3ce2ffec7b2d6d128e0e8a308f","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Propionibacteriales"," f__Nocardioidaceae"," g__Nocardioides",NA
"c1a9de807beef2683adfeb565d83ed0d","d__Bacteria"," p__Chloroflexi"," c__Dehalococcoidia"," o__S085"," f__S085"," g__S085"," s__uncultured_bacterium"
"6d707baa06fcbe778e362bd9d26e1cc2","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__Gaiella",NA
"80a7e9a9d8f94a5df272a3e3b21958be","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae",NA
"1fe9bcb64e8e6983472d5b90eeae0e74","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__CCD24"," f__CCD24"," g__CCD24",NA
"22fcd5fdf99838ba81912e24fe920c3e","d__Bacteria"," p__Chloroflexi"," c__Chloroflexia"," o__Thermomicrobiales"," f__JG30-KF-CM45"," g__JG30-KF-CM45"," s__uncultured_bacterium"
"4c98f3f8c6b2a2c2d4dd37835fbce8ca","d__Bacteria"," p__Chloroflexi"," c__Anaerolineae"," o__Caldilineales"," f__Caldilineaceae"," g__uncultured",NA
"6d66e88edf2a2518f17d9dc4a9ee70c9","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__Pedosphaeraceae",NA
"7b3842d814b35a587aac53ad43c154c3","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__uncultured"," g__uncultured",NA
"7e742dba3cac876bd19eaefcb98f4198","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__uncultured"," g__uncultured"," s__uncultured_bacterium"
"b65d09804c422370ff8907a19d0af13d","d__Bacteria"," p__Actinobacteriota"," c__MB-A2-108"," o__MB-A2-108"," f__MB-A2-108"," g__MB-A2-108",NA
"f0182c61ebbe9d364d47a60a4cae2c12","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__uncultured"," s__metagenome"
"09e8d57809412d2c9f40b573548772d8","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__Pedosphaeraceae",NA
"590e87c3962a90ed9bd4573711d341ed","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__Gaiella"," s__uncultured_bacterium"
"2dae88aa851929161de1867bd6c673fb","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Propionibacteriales"," f__Nocardioidaceae"," g__Aeromicrobium",NA
"cdc0be6cabb72d755fe859fc3763fbaa","d__Bacteria"," p__Planctomycetota"," c__Planctomycetes"," o__Gemmatales"," f__Gemmataceae"," g__Gemmata"," s__uncultured_bacterium"
"81de9adc50e2c36ebdffe4a49c8d3e4f","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__uncultured"," g__uncultured",NA
"0a405b8004633705bda834f4aba045cd","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Nitrosomonadaceae"," g__MND1",NA
"39c206a77ea47122aed9070a066a15f9","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Pseudonocardiales"," f__Pseudonocardiaceae"," g__Pseudonocardia",NA
"55e29e8099224e4e3ab4359282ba5d70","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"2e5e8fb9e810c1934d389187dd15c459","d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__uncultured"," s__uncultured_proteobacterium"
"2d822a2df8a6428dfd61f898bde360b7","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Steroidobacterales"," f__Steroidobacteraceae"," g__uncultured",NA
"0a76f87db5f851ffb918128d06b86dad","d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__uncultured",NA
"065af9a6af8823779856686f15655036","d__Bacteria"," p__Actinobacteriota"," c__MB-A2-108"," o__MB-A2-108"," f__MB-A2-108"," g__MB-A2-108",NA
"e10060747dc464a2c8b2ae2285d58860","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae"," s__uncultured_bacterium"
"0def5d01974bc7322693d79b2c7e124c","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Beijerinckiaceae"," g__Microvirga",NA
"78f10fe79f2029252b2063bae2957a36","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium",NA
"26d81ebccff2f71c838ef248819863d0","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__uncultured"," g__uncultured",NA
"59bf1591f5f543e806902cad7398bf75","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"258ca31ae90f642179b91cf8ba74807a","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__Gaiella"," s__uncultured_bacterium"
"98461c86b9cf37f7607ee68379bc24af","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae"," s__uncultured_Acidobacteriaceae"
"03162779a387941e5fa2efa62f9eb24e","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae",NA,NA
"b37b0dad193d8a26bb3e376a5bf40e17","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__uncultured"," s__uncultured_bacterium"
"5f33f84217ab46f2a7d357cfc9cafc77","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__CCD24"," f__CCD24"," g__CCD24"," s__uncultured_bacterium"
"d27b1f957d507023d983c043e76609b7","d__Bacteria"," p__Chloroflexi"," c__Dehalococcoidia"," o__S085"," f__S085"," g__S085"," s__metagenome"
"6997da2698f583e0a97764a76fa0c11d","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Frankiales"," f__Geodermatophilaceae"," g__Blastococcus"," s__uncultured_bacterium"
"df8dca48cecadfc9b69bec1890eb8646","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Chthoniobacteraceae"," g__Chthoniobacter"," s__uncultured_bacterium"
"3158b971d5e23961d830184fee027ae7","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Beijerinckiaceae"," g__Microvirga",NA
"28ee26fe34fa469c8bcb98eaa48388e9","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas"," s__Pseudomonas_frederiksbergensis"
"bced40427c4801df131f0632885aa329","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__Rubritaleaceae"," g__Luteolibacter",NA
"eab6cec10d917c6fcda089934928821f","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Microbacterium",NA
"fe9b7dfefe4a401b0540dedaa0ed90fc","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Propionibacteriales"," f__Nocardioidaceae"," g__Nocardioides",NA
"41c7faa50e30b980db1cd6dd44a6e7cf","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae",NA
"805c9d666fc886915aa2dd22b84f8e8f","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Microbacterium",NA
"8f7cfb758567c5e32667d492b582ccde","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__uncultured"," g__uncultured"," s__uncultured_Rubrobacterales"
"bed616763a90898fcddf08c1cd178215","d__Bacteria"," p__Planctomycetota"," c__Planctomycetes"," o__Pirellulales"," f__Pirellulaceae"," g__uncultured",NA
"92f60824fee307af66491d671714c029","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Chthoniobacteraceae"," g__Candidatus_Udaeobacter",NA
"761b763977855d6cbf30782e944e3f65","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__Vicinamibacteraceae"," g__Vicinamibacteraceae"," s__uncultured_Acidobacteria"
"3aff84b9ca4f608791de878a14f5bd6d","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__Gaiella",NA
"64bd355168a5206ef117c09ca9aff981","d__Bacteria"," p__Acidobacteriota"," c__Blastocatellia"," o__11-24"," f__11-24"," g__11-24"," s__uncultured_bacterium"
"89ca7dbab4127723c6c82b07fe2f46be","d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Polyangiales"," f__Sandaracinaceae"," g__uncultured",NA
"262a1d8675af67205bcec4557817ad98","d__Bacteria"," p__Actinobacteriota"," c__Acidimicrobiia"," o__Actinomarinales"," f__uncultured"," g__uncultured",NA
"ab88f4965a438fe8edad0c9fd6fd1cbc","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"01fe32df0f884f11c8be78686852927a","d__Bacteria"," p__Nitrospirota"," c__Nitrospiria"," o__Nitrospirales"," f__Nitrospiraceae"," g__Nitrospira",NA
"44f771edee9c707834e887b4b7b20862","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," g__Rhodoplanes",NA
"b2a0ab3d204a2ce4fb684b8049a0a88e","d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__Gaiella"," s__uncultured_bacterium"
"180358d73d92db5d79dce762300896e5","d__Bacteria"," p__Chloroflexi"," c__Chloroflexia"," o__Kallotenuales"," f__AKIW781"," g__AKIW781"," s__uncultured_bacterium"
"fa4af46f520c16e92e8daca216724499","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Propionibacteriales"," f__Propionibacteriaceae"," g__Microlunatus",NA
"9ddb1b4363e0a3dc419eab2b2137bad6","d__Bacteria"," p__Desulfobacterota"," c__Desulfuromonadia"," o__Desulfuromonadia"," f__Desulfuromonadaceae"," g__Desulfuromonas"," s__uncultured_bacterium"
"0dc1103da764ad991a602a5b073d02f6","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," g__Rhodoplanes",NA
"3ece75a5940105e558050bbe572170d3","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__PLTA13"," f__PLTA13"," g__PLTA13",NA
"33e2ac5f16c3dc3edf12277bb8f06c50","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micromonosporales"," f__Micromonosporaceae"," g__Micromonospora",NA
"23a845fda1cec8ec48263b588fa2fadb","d__Bacteria"," p__Myxococcota"," c__bacteriap25"," o__bacteriap25"," f__bacteriap25"," g__bacteriap25"," s__uncultured_soil"
"3fd26a4bae90c6482697cefe88c896a0","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methyloligellaceae"," g__uncultured",NA
"dd5d929eb8100d80c8ec8db279d8c262","d__Bacteria"," p__Acidobacteriota"," c__Subgroup_11"," o__Subgroup_11"," f__Subgroup_11"," g__Subgroup_11"," s__uncultured_bacterium"
"627dc9e4a76c610ac3c271679fd82b25","d__Bacteria"," p__Chloroflexi"," c__TK10"," o__TK10"," f__TK10"," g__TK10"," s__uncultured_bacterium"
"146685ee9d8f3ab470718816ecdc2870","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SC-I-84"," g__SC-I-84"," s__beta_proteobacterium"
"71018bd9f5cd9b502de2b45cc4a9fe1c","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Corynebacteriales"," f__Mycobacteriaceae"," g__Mycobacterium",NA
"7072ef5a8f79f5b7cfb294a73f4750b5","d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__uncultured"," g__uncultured",NA
"11262e285d684df0e251fe799c6822f2","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Opitutales"," f__Opitutaceae"," g__Lacunisphaera",NA
