"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"92f42ce60fe3db3e63973f1e444f98d3","d__Bacteria"," p__Planctomycetota"," c__OM190"," o__OM190"," f__OM190"," g__OM190",NA
"c60c49ddd9c80177db18cb15845377bb","d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__FFCH16767"," f__FFCH16767"," g__FFCH16767"," s__uncultured_bacterium"
"8b847145dcad2a1f9b72a65e2b6b12fd","d__Bacteria"," p__Acidobacteriota"," c__Blastocatellia"," o__DS-100"," f__DS-100"," g__DS-100",NA
"f32354c21c294dacf6d25757699bb2ee","d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Polyangiales"," f__Phaselicystidaceae"," g__Phaselicystis",NA
"f8dceb88abd52b32cd18b63db43d22c0","d__Bacteria"," p__Bdellovibrionota"," c__Bdellovibrionia"," o__Bdellovibrionales"," f__Bdellovibrionaceae"," g__Bdellovibrio"," s__uncultured_bacterium"
"3f7d6615d8055948cdf69c0148bf6254","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium",NA
"1696bae02ba27abc07407c7a1f93e744","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__uncultured"," s__uncultured_Verrucomicrobia"
"b8b9ab08d90ba6be1fa21012401a43fd","d__Bacteria"," p__Planctomycetota"," c__Planctomycetes"," o__Pirellulales"," f__Pirellulaceae"," g__Pir4_lineage"," s__uncultured_bacterium"
"e51b5a854c7a01b51b204f85613a03b2","d__Bacteria"," p__Patescibacteria"," c__Parcubacteria",NA,NA,NA,NA
"818042b47f7e6426c0c9b14b646dad47","d__Bacteria",NA,NA,NA,NA,NA,NA
